GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,PublicDatasetsSelect,LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube,BlogsPodcastsNewslettersSelect,LearningDataScienceTime,JobSkillImportanceBigData,JobSkillImportanceDegree,JobSkillImportanceStats,JobSkillImportanceEnterpriseTools,JobSkillImportancePython,JobSkillImportanceR,JobSkillImportanceSQL,JobSkillImportanceKaggleRanking,JobSkillImportanceMOOC,JobSkillImportanceVisualizations,JobSkillImportanceOtherSelect1,JobSkillImportanceOtherSelect2,JobSkillImportanceOtherSelect3,CoursePlatformSelect,HardwarePersonalProjectsSelect,TimeSpentStudying,ProveKnowledgeSelect,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,PastJobTitlesSelect,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther,MLSkillsSelect,MLTechniquesSelect,ParentsEducation,EmployerIndustry,EmployerSize,EmployerSizeChange,EmployerMLTime,EmployerSearchMethod,UniversityImportance,JobFunctionSelect,WorkHardwareSelect,WorkDataTypeSelect,WorkProductionFrequency,WorkDatasetSize,WorkAlgorithmsSelect,WorkToolsSelect,WorkToolsFrequencyAmazonML,WorkToolsFrequencyAWS,WorkToolsFrequencyAngoss,WorkToolsFrequencyC,WorkToolsFrequencyCloudera,WorkToolsFrequencyDataRobot,WorkToolsFrequencyFlume,WorkToolsFrequencyGCP,WorkToolsFrequencyHadoop,WorkToolsFrequencyIBMCognos,WorkToolsFrequencyIBMSPSSModeler,WorkToolsFrequencyIBMSPSSStatistics,WorkToolsFrequencyIBMWatson,WorkToolsFrequencyImpala,WorkToolsFrequencyJava,WorkToolsFrequencyJulia,WorkToolsFrequencyJupyter,WorkToolsFrequencyKNIMECommercial,WorkToolsFrequencyKNIMEFree,WorkToolsFrequencyMathematica,WorkToolsFrequencyMATLAB,WorkToolsFrequencyAzure,WorkToolsFrequencyExcel,WorkToolsFrequencyMicrosoftRServer,WorkToolsFrequencyMicrosoftSQL,WorkToolsFrequencyMinitab,WorkToolsFrequencyNoSQL,WorkToolsFrequencyOracle,WorkToolsFrequencyOrange,WorkToolsFrequencyPerl,WorkToolsFrequencyPython,WorkToolsFrequencyQlik,WorkToolsFrequencyR,WorkToolsFrequencyRapidMinerCommercial,WorkToolsFrequencyRapidMinerFree,WorkToolsFrequencySalfrod,WorkToolsFrequencySAPBusinessObjects,WorkToolsFrequencySASBase,WorkToolsFrequencySASEnterprise,WorkToolsFrequencySASJMP,WorkToolsFrequencySpark,WorkToolsFrequencySQL,WorkToolsFrequencyStan,WorkToolsFrequencyStatistica,WorkToolsFrequencyTableau,WorkToolsFrequencyTensorFlow,WorkToolsFrequencyTIBCO,WorkToolsFrequencyUnix,WorkToolsFrequencySelect1,WorkToolsFrequencySelect2,WorkFrequencySelect3,WorkMethodsSelect,WorkMethodsFrequencyA/B,WorkMethodsFrequencyAssociationRules,WorkMethodsFrequencyBayesian,WorkMethodsFrequencyCNNs,WorkMethodsFrequencyCollaborativeFiltering,WorkMethodsFrequencyCross-Validation,WorkMethodsFrequencyDataVisualization,WorkMethodsFrequencyDecisionTrees,WorkMethodsFrequencyEnsembleMethods,WorkMethodsFrequencyEvolutionaryApproaches,WorkMethodsFrequencyGANs,WorkMethodsFrequencyGBM,WorkMethodsFrequencyHMMs,WorkMethodsFrequencyKNN,WorkMethodsFrequencyLiftAnalysis,WorkMethodsFrequencyLogisticRegression,WorkMethodsFrequencyMLN,WorkMethodsFrequencyNaiveBayes,WorkMethodsFrequencyNLP,WorkMethodsFrequencyNeuralNetworks,WorkMethodsFrequencyPCA,WorkMethodsFrequencyPrescriptiveModeling,WorkMethodsFrequencyRandomForests,WorkMethodsFrequencyRecommenderSystems,WorkMethodsFrequencyRNNs,WorkMethodsFrequencySegmentation,WorkMethodsFrequencySimulation,WorkMethodsFrequencySVMs,WorkMethodsFrequencyTextAnalysis,WorkMethodsFrequencyTimeSeriesAnalysis,WorkMethodsFrequencySelect1,WorkMethodsFrequencySelect2,WorkMethodsFrequencySelect3,TimeGatheringData,TimeModelBuilding,TimeProduction,TimeVisualizing,TimeFindingInsights,TimeOtherSelect,AlgorithmUnderstandingLevel,WorkChallengesSelect,WorkChallengeFrequencyPolitics,WorkChallengeFrequencyUnusedResults,WorkChallengeFrequencyUnusefulInstrumenting,WorkChallengeFrequencyDeployment,WorkChallengeFrequencyDirtyData,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyPass,WorkChallengeFrequencyIntegration,WorkChallengeFrequencyTalent,WorkChallengeFrequencyDataFunds,WorkChallengeFrequencyDomainExpertise,WorkChallengeFrequencyML,WorkChallengeFrequencyTools,WorkChallengeFrequencyExpectations,WorkChallengeFrequencyITCoordination,WorkChallengeFrequencyHiringFunds,WorkChallengeFrequencyPrivacy,WorkChallengeFrequencyScaling,WorkChallengeFrequencyEnvironments,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,WorkChallengeFrequencyOtherSelect,WorkDataVisualizations,WorkInternalVsExternalTools,WorkMLTeamSeatSelect,WorkDatasets,WorkDatasetsChallenge,WorkDataStorage,WorkDataSharing,WorkDataSourcing,WorkCodeSharing,RemoteWork,CompensationAmount,CompensationCurrency,SalaryChange,JobSatisfaction,JobSearchResource,JobHuntTime,JobFactorLearning,JobFactorSalary,JobFactorOffice,JobFactorLanguages,JobFactorCommute,JobFactorManagement,JobFactorExperienceLevel,JobFactorDepartment,JobFactorTitle,JobFactorCompanyFunding,JobFactorImpact,JobFactorRemote,JobFactorIndustry,JobFactorLeaderReputation,JobFactorDiversity,JobFactorPublishingOpportunity
"Non-binary, genderqueer, or gender non-conforming",,NA,Employed full-time,,,Yes,,DBA/Database Engineer,Fine,"Employed by a company that doesn't perform advanced analytics,Employed by non-profit or NGO",SAS Base,Random Forests,F#,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),University/Non-profit research group websites,Other","College/University,Conferences,Podcasts,Trade book",,,,,Very useful,,,,,,,,Very useful,,,Somewhat useful,,,"Becoming a Data Scientist Podcast,Data Machina Newsletter,O'Reilly Data Newsletter,Partially Derivative Podcast,R Bloggers Blog Aggregator",,,,,,,,,,,,,,,,,,,Yes,Bachelor's degree,Management information systems,More than 10 years,"Predictive Modeler,Programmer,Researcher",University courses,0,0,100,0,0,0,"Computer Vision,Natural Language Processing,Supervised Machine Learning (Tabular Data),Time Series","Evolutionary Approaches,Neural Networks - GANs,Neural Networks - RNNs",A doctoral degree,Internet-based,100 to 499 employees,Increased slightly,3-5 years,I visited the company's Web site and found a job listing there,Not very important,Build prototypes to explore applying machine learning to new areas,"Gaming Laptop (Laptop + CUDA capable GPU),Workstation + Cloud service","Text data,Relational data",Rarely,10GB,"Neural Networks,Random Forests,RNNs","Amazon Web services,Oracle Data Mining/ Oracle R Enterprise,Perl",,Rarely,,,,,,,,,,,,,,,,,,,,,,,,,,Sometimes,,Most of the time,,,,,,,,,,,,,,,,,,,,,,"Association Rules,Collaborative Filtering,Neural Networks,PCA and Dimensionality Reduction,Random Forests",,Rarely,,,Often,,,,,,,,,,,,,,,Sometimes,Often,,Most of the time,,,,,,,,,,,0,100,0,0,0,0,Enough to explain the algorithm to someone non-technical,"Company politics / Lack of management/financial support for a data science team,Privacy issues,Scaling data science solution up to full database",Rarely,,,,,,,,,,,,,,,,Often,Most of the time,,,,,26-50% of projects,Do not know,Standalone Team,,,"Document-oriented (e.g. MongoDB/Elasticsearch),Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Graph (e.g. GraphBase/Neo4j)","Company Developed Platform,I don't typically share data,Share Drive/SharePoint",,"Mercurial,Subversion,Other",Always,,,I am not currently employed,5,,,,,,,,,,,,,,,,,,
Female,United States,30,"Not employed, but looking for work",,,,,,,,Python,Random Forests,Python,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),Kaggle,,,,,,,Somewhat useful,,,,,,,,,,,,"Becoming a Data Scientist Podcast,Siraj Raval YouTube Channel",1-2 years,,Nice to have,Unnecessary,,Unnecessary,,Necessary,,,,,,,,,2 - 10 hours,Master's degree,Yes,Master's degree,Computer Science,Less than a year,Software Developer/Software Engineer,University courses,10,30,0,30,30,0,"Computer Vision,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",A bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat important,,
Male,Canada,28,"Not employed, but looking for work",,,,,,,,Amazon Web services,Deep learning,R,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Arxiv,College/University,Kaggle,Online courses,YouTube Videos",Very useful,,Somewhat useful,,,,Somewhat useful,,,,Very useful,,,,,,,Very useful,"FastML Blog,No Free Hunch Blog,Talking Machines Podcast",1-2 years,Necessary,,,,,Necessary,,,,,,,,"Coursera,edX",Basic laptop (Macbook),2 - 10 hours,Github Portfolio,Yes,Master's degree,Engineering (non-computer focused),3 to 5 years,"Data Scientist,Machine Learning Engineer",University courses,20,50,0,30,0,0,"Adversarial Learning,Computer Vision,Natural Language Processing","Decision Trees - Random Forests,Ensemble Methods,Neural Networks - CNNs,Support Vector Machines (SVMs)",A bachelor's degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asking friends, family members, or former colleagues for leads",1-2,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important
Male,United States,56,"Independent contractor, freelancer, or self-employed",,,Yes,,Operations Research Practitioner,Poorly,Self-employed,TensorFlow,Neural Nets,Python,I collect my own data (e.g. web-scraping),"Blogs,College/University,Conferences,Friends network,Official documentation,Online courses,Personal Projects",,Very useful,Very useful,,Very useful,Very useful,,,,Very useful,Very useful,Very useful,,,,,,,KDnuggets Blog,,,,,,,,,,,,,,,,,,,Yes,Master's degree,Mathematics or statistics,More than 10 years,"Business Analyst,Operations Research Practitioner,Predictive Modeler,Programmer,Other",University courses,30,0,40,30,0,0,"Recommendation Engines,Reinforcement learning,Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Markov Logic Networks,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)",High school,Mix of fields,,,,,Very important,Analyze and understand data to influence product or business decisions,"Laptop + Cloud service (AWS, Azure, GCE ...)",Relational data,Always,1GB,"Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression","Amazon Machine Learning,Amazon Web services,Cloudera,Hadoop/Hive/Pig,Impala,Java,Mathematica,MATLAB/Octave,Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,NoSQL,Python,R,SAS Base,SAS JMP,SQL,Tableau",Rarely,Often,,,Rarely,,,,Rarely,,,,,Rarely,Rarely,,,,,Rarely,Rarely,,Sometimes,,Rarely,,Rarely,,,,Rarely,,Rarely,,,,,Sometimes,,Rarely,,Often,,,Rarely,,,,,,,"A/B Testing,Bayesian Techniques,Data Visualization,Decision Trees,Ensemble Methods,Logistic Regression,Markov Logic Networks,Naive Bayes,Neural Networks,Random Forests,Simulation,Time Series Analysis",Sometimes,,Sometimes,,,,Sometimes,Often,Sometimes,,,,,,,Sometimes,Often,Sometimes,,Sometimes,,,Sometimes,,,,Often,,,Often,,,,50,20,0,10,20,0,Enough to refine and innovate on the algorithm,"Company politics / Lack of management/financial support for a data science team,Data Science results not used by business decision makers,Did not instrument data useful for scientific analysis and decision-making,Difficulties in deployment/scoring,Dirty data,Explaining data science to others,Inability to integrate findings into organization's decision-making process,Lack of data science talent in the organization,Lack of funds to buy useful datasets from external sources,Lack of significant domain expert input,Limitations in the state of the art in machine learning,Limitations of tools,Maintaining responsible expectations about the potential impact of data science projects,Organization is small and cannot afford a data science team,Privacy issues,Scaling data science solution up to full database,Team using multiple ad-hoc development environments such as Python/R/Java/etc.,The lack of a clear question to be answering or a clear direction to go in with the available data,Unavailability of/difficult access to data",Often,Often,Often,Often,Often,Often,,Often,Often,Often,Most of the time,Often,Often,Often,,Often,Often,Often,Often,Often,Often,,100% of projects,Entirely internal,Standalone Team,Electricity data sets from government and states,"Everything is custom, there is never a tool that can do it all as they claim.  Nothing is as easy as it might be, but that is the nature of the beast","Column-oriented relational (e.g. KDB/MariaDB),Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Other tabular (e.g. Cassandra/BigTable/BigQuery/Redshift),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)","Company Developed Platform,Email",,"Generic cloud file sharing software (Dropbox/Box/etc.),Generic non-cloud file sharing software (Email/Shared Server/etc.)",,"250,000",USD,Has increased 20% or more,10 - Highly Satisfied,,,,,,,,,,,,,,,,,,
Male,Taiwan,38,Employed full-time,,,Yes,,Computer Scientist,Fine,Employed by a company that doesn't perform advanced analytics,TensorFlow,Text Mining,Python,GitHub,"Arxiv,Conferences,Kaggle,Textbook",Very useful,,,,Somewhat useful,,Somewhat useful,,,,,,,,Somewhat useful,,,,"Data Machina Newsletter,Jack's Import AI Newsletter,O'Reilly Data Newsletter",,,,,,,,,,,,,,,,,,,No,Doctoral degree,Engineering (non-computer focused),More than 10 years,"Computer Scientist,Data Analyst,Data Miner,Data Scientist,Engineer,Machine Learning Engineer,Predictive Modeler,Programmer,Researcher,Software Developer/Software Engineer",University courses,60,5,5,30,0,0,"Computer Vision,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)",Primary/elementary school,Technology,"5,000 to 9,999 employees",Stayed the same,Don't know,A tech-specific job board,Somewhat important,Build prototypes to explore applying machine learning to new areas,"Gaming Laptop (Laptop + CUDA capable GPU),GPU accelerated Workstation,Laptop or Workstation and private datacenters,Workstation + Cloud service","Image data,Relational data",Most of the time,100GB,"Bayesian Techniques,CNNs,Ensemble Methods,Neural Networks,Regression/Logistic Regression,SVMs","C/C++,Jupyter notebooks,MATLAB/Octave,Python,R,TensorFlow",,,,Most of the time,,,,,,,,,,,,,Sometimes,,,,Often,,,,,,,,,,Sometimes,,Sometimes,,,,,,,,,,,,,Sometimes,,,,,,"Association Rules,Bayesian Techniques,CNNs,Collaborative Filtering,Data Visualization,Decision Trees,Ensemble Methods,Evolutionary Approaches,kNN and Other Clustering,Logistic Regression,Naive Bayes,Neural Networks,PCA and Dimensionality Reduction,RNNs,Segmentation,SVMs,Time Series Analysis",,Sometimes,Often,Most of the time,Sometimes,,Most of the time,Sometimes,Often,Sometimes,,,,Most of the time,,Sometimes,,Sometimes,,Most of the time,Sometimes,,,,Sometimes,Often,,Most of the time,,Sometimes,,,,30,20,15,15,20,0,Enough to refine and innovate on the algorithm,"Company politics / Lack of management/financial support for a data science team,Data Science results not used by business decision makers,Lack of data science talent in the organization,Lack of funds to buy useful datasets from external sources,Lack of significant domain expert input,Need to coordinate with IT,Privacy issues,Team using multiple ad-hoc development environments such as Python/R/Java/etc.",Often,Sometimes,,,,,,,Sometimes,Sometimes,Sometimes,,,,Sometimes,,Most of the time,,Sometimes,,,,10-25% of projects,Approximately half internal and half external,Business Department,,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG)",Company Developed Platform,,Git,Rarely,,,I do not want to share information about my salary/compensation,2,,,,,,,,,,,,,,,,,,
Male,Brazil,46,Employed full-time,,,Yes,,Data Scientist,Fine,Employed by college or university,TensorFlow,Genetic & Evolutionary Algorithms,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),I collect my own data (e.g. web-scraping)","Kaggle,Online courses,Stack Overflow Q&A,Textbook",,,,,,,Very useful,,,,Very useful,,,Very useful,Very useful,,,,Other (Separate different answers with semicolon),,,,,,,,,,,,,,,,,,,,Doctoral degree,Electrical Engineering,6 to 10 years,"Data Analyst,Engineer,Researcher,Other","Online courses (coursera, udemy, edx, etc.)",45,25,20,0,10,0,"Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",A bachelor's degree,Academic,500 to 999 employees,Increased slightly,6-10 years,I was contacted directly by someone at the company (e.g. internal recruiter),Somewhat important,Research that advances the state of the art of machine learning,"GPU accelerated Workstation,Laptop or Workstation and private datacenters,Workstation + Cloud service","Text data,Relational data",Most of the time,1GB,"Bayesian Techniques,CNNs,Decision Trees,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression","Jupyter notebooks,Python,SQL,TensorFlow",,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,Often,,,,Often,,,,,,"Association Rules,Bayesian Techniques,CNNs,Cross-Validation,Data Visualization,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Logistic Regression,Natural Language Processing,Neural Networks,Random Forests,SVMs,Text Analytics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,20,10,10,0,0,Enough to explain the algorithm to someone non-technical,Dirty data,,,,,Most of the time,,,,,,,,,,,,,,,,,,76-99% of projects,More internal than external,Other,,,"Column-oriented relational (e.g. KDB/MariaDB),Document-oriented (e.g. MongoDB/Elasticsearch),Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)",I don't typically share data,,"Bitbucket,Git,Other",Sometimes,,,I do not want to share information about my salary/compensation,8,,,,,,,,,,,,,,,,,,
Male,United States,35,Employed full-time,,,Yes,,Computer Scientist,Fine,Employed by government,TensorFlow,Text Mining,R,Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),"Arxiv,Blogs,Kaggle,Personal Projects,Textbook",Somewhat useful,Somewhat useful,,,,,Somewhat useful,,,,,Somewhat useful,,,Very useful,,,,,,,,,,,,,,,,,,,,,,,No,Master's degree,Electrical Engineering,More than 10 years,"Computer Scientist,DBA/Database Engineer,Engineer,Programmer,Researcher,Software Developer/Software Engineer",University courses,40,0,0,50,10,0,"Natural Language Processing,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)",A master's degree,Government,"10,000 or more employees",,,A career fair or on-campus recruiting event,Very important,"Build and/or run the data infrastructure that your business uses for storing, analyzing, and operationalizing data","Traditional Workstation,Workstation + Cloud service",,,,,"C/C++,Cloudera,Hadoop/Hive/Pig,Java,NoSQL,R,Unix shell / awk",,,,Sometimes,Most of the time,,,,Most of the time,,,,,,Most of the time,,,,,,,,,,,,Most of the time,,,,,,Sometimes,,,,,,,,,,,,,,,Most of the time,,,,"A/B Testing,Cross-Validation,Data Visualization,Decision Trees,kNN and Other Clustering,Logistic Regression,Naive Bayes,Natural Language Processing,Segmentation,SVMs,Text Analytics,Time Series Analysis",Sometimes,,,,,Sometimes,Most of the time,Sometimes,,,,,,Sometimes,,Sometimes,,Sometimes,Most of the time,,,,,,,Sometimes,,Sometimes,Most of the time,Often,,,,30,10,30,20,10,0,Enough to explain the algorithm to someone non-technical,"Did not instrument data useful for scientific analysis and decision-making,I prefer not to say,Lack of data science talent in the organization",,,,,,,,,,,,,,,,,,,,,,,26-50% of projects,Entirely internal,IT Department,,,"Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Graph (e.g. GraphBase/Neo4j),Key-value store (e.g. Redis/Riak),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)","Company Developed Platform,Email",,"Bitbucket,Git",,,,,8,,,,,,,,,,,,,,,,,,
Female,India,22,Employed full-time,,,No,Yes,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Google Cloud Compute,Deep learning,SQL,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,Government website","College/University,Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Very useful,,,,Very useful,,,Very useful,,,,Very useful,"Becoming a Data Scientist Podcast,Siraj Raval YouTube Channel,The Data Skeptic Podcast",1-2 years,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,,,,Coursera,"Basic laptop (Macbook),Gaming Laptop (Laptop + CUDA capable GPU)",0 - 1 hour,Kaggle Competitions,No,Bachelor's degree,Computer Science,1 to 2 years,Software Developer/Software Engineer,University courses,0,40,0,50,10,0,,"Bayesian Techniques,Decision Trees - Random Forests,Logistic Regression",A bachelor's degree,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Career fair or on-campus recruiting event,1-2,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat important,Not important,Very Important,Very Important,Somewhat important,Somewhat important
Female,Australia,43,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by non-profit or NGO,Microsoft Excel Data Mining,Link Analysis,Python,University/Non-profit research group websites,"Blogs,Company internal community,Conferences,Friends network,Kaggle,Newsletters,Non-Kaggle online communities,Online courses,YouTube Videos",,Very useful,,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,,Very useful,,,,,,,Very useful,"Becoming a Data Scientist Podcast,Data Elixir Newsletter,The Data Skeptic Podcast",,,,,,,,,,,,,,,,,,,No,Bachelor's degree,,3 to 5 years,Business Analyst,Work,70,0,30,0,0,0,Supervised Machine Learning (Tabular Data),,A doctoral degree,Non-profit,20 to 99 employees,Increased slightly,Don't know,"A friend, family member, or former colleague told me",Not at all important,Analyze and understand data to influence product or business decisions,"Laptop or Workstation and local IT supported servers,Workstation + Cloud service",Relational data,Rarely,10TB,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sometimes,,,,,,,,,,Data Visualization,,,,,,,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,60,10,5,15,10,0,Enough to tune the parameters properly,Dirty data,,,,,Often,,,,,,,,,,,,,,,,,,Less than 10% of projects,Entirely internal,IT Department,,,Row-oriented relational (e.g. MySQL/Microsoft SQL Server),"I don't typically share data,Share Drive/SharePoint",,Generic non-cloud file sharing software (Email/Shared Server/etc.),Rarely,80000,AUD,Has stayed about the same (has not increased or decreased more than 5%),7,,,,,,,,,,,,,,,,,,
Male,Russia,33,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,C/C++,Deep learning,Python,"Dataset aggregator/platform (i.e. Socrata/Kaggle Datasets/data.world/etc.),GitHub,Google Search,I collect my own data (e.g. web-scraping)","Arxiv,Blogs,Conferences,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,,,Somewhat useful,,Somewhat useful,,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,,,Somewhat useful,"DataTau News Aggregator,KDnuggets Blog,No Free Hunch Blog",,,,,,,,,,,,,,,,,,,Sort of (Explain more),Bachelor's degree,Other,1 to 2 years,Software Developer/Software Engineer,Self-taught,10,70,15,0,5,0,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression",A bachelor's degree,Internet-based,20 to 99 employees,Stayed the same,1-2 years,I visited the company's Web site and found a job listing there,Important,Build and/or run a machine learning service that operationally improves your product or workflows,"Basic laptop (Macbook),GPU accelerated Workstation,Traditional Workstation","Image data,Text data,Relational data",Sometimes,100MB,"CNNs,Decision Trees,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression,SVMs","Jupyter notebooks,NoSQL,Python,R,SQL,Unix shell / awk",,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,Often,,,,Most of the time,,Sometimes,,,,,,,,,Most of the time,,,,,,Most of the time,,,,"A/B Testing,Association Rules,CNNs,Cross-Validation,Data Visualization,Decision Trees,Gradient Boosted Machines,Logistic Regression,Naive Bayes,PCA and Dimensionality Reduction,Random Forests,Recommender Systems,SVMs,Time Series Analysis",Sometimes,Often,,Sometimes,,Most of the time,Often,Most of the time,,,,Often,,,,Often,,Sometimes,,,Often,,Often,Sometimes,,,,Sometimes,,Sometimes,,,,40,30,15,10,5,0,Enough to explain the algorithm to someone non-technical,"Data Science results not used by business decision makers,Dirty data,Explaining data science to others,Lack of data science talent in the organization,Lack of significant domain expert input,Limitations of tools,Organization is small and cannot afford a data science team,Privacy issues,Scaling data science solution up to full database",,Sometimes,,,Often,Often,,,Often,,Sometimes,,Rarely,,,Sometimes,Rarely,Rarely,,,,,Less than 10% of projects,Do not know,IT Department,Address database; geo data,,"Document-oriented (e.g. MongoDB/Elasticsearch),Flat files not in a database or cache (e.g. CSV, JSON, XML, PNG, MPG),Key-value store (e.g. Redis/Riak),Row-oriented relational (e.g. MySQL/Microsoft SQL Server)",I don't typically share data,,"Bitbucket,Git",Rarely,1200000,RUB,Has increased between 6% and 19%,7,,,,,,,,,,,,,,,,,,
