Male,Australia,38,Employed part-time,,,Yes,,Researcher,Fine,Employed by college or university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Doctoral degree,Engineering (non-computer focused),6 to 10 years,Researcher,Work,60,0,40,0,0,0,"Supervised Machine Learning (Tabular Data),Time Series","Logistic Regression,Support Vector Machines (SVMs)",A bachelor's degree,Academic,"1,000 to 4,999 employees",Increased slightly,6-10 years,I was contacted directly by someone at the company (e.g. internal recruiter),Very important,Analyze and understand data to influence product or business decisions,Laptop or Workstation and local IT supported servers,Relational data,Sometimes,1GB,"Neural Networks,Regression/Logistic Regression,SVMs","MATLAB/Octave,RapidMiner (free version)",,,,,,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,,,,Sometimes,,,,,,,,,,,,,,,,,"kNN and Other Clustering,Neural Networks,SVMs,Time Series Analysis",,,,,,,,,,,,,,Sometimes,,,,,,Often,,,,,,,,Often,,Most of the time,,,,50,0,0,30,20,0,"Enough to code it again from scratch, albeit it may run slowly","Explaining data science to others,Limitations in the state of the art in machine learning,Unavailability of/difficult access to data",,,,,,Often,,,,,,Often,,,,,,,,,Often,,51-75% of projects,Approximately half internal and half external,Standalone Team,,,Graph (e.g. GraphBase/Neo4j),Company Developed Platform,,Generic non-cloud file sharing software (Email/Shared Server/etc.),Sometimes,,,,,,,,,,,,,,,,,,,,,,
Male,India,26,Employed full-time,,,Yes,,Business Analyst,Fine,Employed by a company that doesn't perform advanced analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Master's degree,Computer Science,1 to 2 years,Business Analyst,Work,70,0,30,0,0,0,Other (please specify; separate by semi-colon),Other (please specify; separate by semi-colon),A bachelor's degree,Pharmaceutical,"1,000 to 4,999 employees",Increased slightly,Don't know,I was contacted directly by someone at the company (e.g. internal recruiter),Important,Analyze and understand data to influence product or business decisions,Basic laptop (Macbook),Relational data,Sometimes,<1MB,Decision Trees,Microsoft Excel Data Mining,,,,,,,,,,,,,,,,,,,,,,,Rarely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logistic Regression,,,,,,,,,,,,,,,,Rarely,,,,,,,,,,,,,,,,,,0,0,0,50,50,0,Enough to explain the algorithm to someone non-technical,"Dirty data,Lack of significant domain expert input,Limitations of tools,Unavailability of/difficult access to data",,,,,Often,,,,,,Often,,Sometimes,,,,,,,,Often,,76-99% of projects,More internal than external,Standalone Team,,,Row-oriented relational (e.g. MySQL/Microsoft SQL Server),"Email,Share Drive/SharePoint",,"Git,Other",Rarely,,,,,,,,,,,,,,,,,,,,,,
Female,Other,26,Employed part-time,,,Yes,,Software Developer/Software Engineer,Perfectly,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Bachelor's degree,Computer Science,1 to 2 years,Software Developer/Software Engineer,University courses,10,20,40,30,0,0,"Machine Translation,Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",A master's degree,Technology,20 to 99 employees,Stayed the same,1-2 years,A career fair or on-campus recruiting event,Somewhat important,Build and/or run a machine learning service that operationally improves your product or workflows,"Laptop or Workstation and local IT supported servers,Workstation + Cloud service","Text data,Relational data",Most of the time,1GB,"Bayesian Techniques,Decision Trees,Ensemble Methods,Regression/Logistic Regression,SVMs","Amazon Web services,Jupyter notebooks,NoSQL,Python,Spark / MLlib,SQL",,Most of the time,,,,,,,,,,,,,,,Rarely,,,,,,,,,,Often,,,,Often,,,,,,,,,,Rarely,Often,,,,,,,,,,"Association Rules,Cross-Validation,Data Visualization,Decision Trees,Ensemble Methods,kNN and Other Clustering,Logistic Regression,Natural Language Processing,PCA and Dimensionality Reduction,Recommender Systems,Segmentation,SVMs",,Sometimes,,,,Often,Most of the time,Sometimes,Often,,,,,Often,,Sometimes,,,Sometimes,,Most of the time,,,Often,,Sometimes,,Often,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,South Korea,32,Employed full-time,,,Yes,,Scientist/Researcher,Poorly,Employed by college or university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Professional degree,,3 to 5 years,"Data Analyst,Data Scientist,Researcher,Statistician",University courses,30,10,30,30,0,0,"Survival Analysis,Time Series",Logistic Regression,,Academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Russia,22,Employed part-time,,,Yes,,Programmer,Perfectly,Employed by a company that doesn't perform advanced analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Some college/university study without earning a bachelor's degree,Computer Science,1 to 2 years,Software Developer/Software Engineer,"Online courses (coursera, udemy, edx, etc.)",0,100,0,0,0,0,Computer Vision,Neural Networks - CNNs,A bachelor's degree,Financial,100 to 499 employees,Stayed the same,Don't know,A general-purpose job board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Norway,33,Employed full-time,,,Yes,,Scientist/Researcher,Perfectly,Employed by college or university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Doctoral degree,A humanities discipline,3 to 5 years,Operations Research Practitioner,Self-taught,50,25,0,10,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A different identity,United Kingdom,50,"Independent contractor, freelancer, or self-employed",,,Yes,,Business Analyst,Fine,Employed by college or university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sort of (Explain more),Bachelor's degree,Management information systems,I don't write code to analyze data,"Business Analyst,Data Analyst,Researcher,Other",Work,40,10,50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Egypt,21,Employed part-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Bachelor's degree,Computer Science,1 to 2 years,I haven't started working yet,"Online courses (coursera, udemy, edx, etc.)",60,10,0,0,10,20,"Computer Vision,Machine Translation,Natural Language Processing,Recommendation Engines,Reinforcement learning,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Hidden Markov Models HMMs,Logistic Regression,Markov Logic Networks,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",A bachelor's degree,Other,Fewer than 10 employees,Increased slightly,Don't know,I was contacted directly by someone at the company (e.g. internal recruiter),Important,Build and/or run a machine learning service that operationally improves your product or workflows,Basic laptop (Macbook),Text data,Always,1GB,"Bayesian Techniques,Decision Trees,Markov Logic Networks,Random Forests,Regression/Logistic Regression,SVMs","Jupyter notebooks,SQL",,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,,,,,,,,,,,,,,,,Most of the time,,,,,,,,,,"Bayesian Techniques,Cross-Validation,Data Visualization,Decision Trees,Logistic Regression,Naive Bayes,Natural Language Processing,Neural Networks,PCA and Dimensionality Reduction,SVMs,Text Analytics",,,Often,,,Most of the time,Often,Most of the time,,,,,,,,Sometimes,,Most of the time,Often,Most of the time,Often,,,,,,,Most of the time,Most of the time,,,,,30,10,5,15,40,0,Enough to explain the algorithm to someone non-technical,"Company politics / Lack of management/financial support for a data science team,Did not instrument data useful for scientific analysis and decision-making,Dirty data,Explaining data science to others,Lack of funds to buy useful datasets from external sources,Limitations of tools,Need to coordinate with IT,Unavailability of/difficult access to data",Often,,Sometimes,,,Sometimes,,,,Often,,,Rarely,,Sometimes,,,,,,Often,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,South Korea,35,Employed full-time,,,Yes,,Software Developer/Software Engineer,Fine,Employed by company that makes advanced analytic software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Bachelor's degree,Computer Science,More than 10 years,"Programmer,Software Developer/Software Engineer",Self-taught,50,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,Other,44,Employed full-time,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
